date,latitude,longitude
18.12.2025,-17.198744,-56.637659
28.02.2026,-17.20256,-56.646786
07.03.2026,-17.210991,-56.643258
14.03.2026,-17.209593,-56.652239
21.03.2026,-17.200573,-56.661712
28.03.2026,-17.208846,-56.668063
04.04.2026,-17.224564,-56.653917
11.04.2026,-17.236421,-56.640348
18.04.2026,-17.21879,-56.643848
25.04.2026,-17.194414,-56.628741
02.05.2026,-17.208845,-56.629558
09.05.2026,-17.220771,-56.654386
16.05.2026,-17.206669,-56.627606
23.05.2026,-17.19027,-56.63413
30.05.2026,-17.185351,-56.650952
07.06.2026,-17.192566,-56.658162
14.06.2026,-17.19847,-56.649922
21.06.2026,-17.204373,-56.663312
28.06.2026,-17.213556,-56.654386
05.07.2026,-17.226345,-56.663655
12.07.2026,-17.214115,-56.633892
19.07.2026,-17.214212,-56.597394
26.07.2026,-17.189942,-56.60735
03.08.2026,-17.183383,-56.642713
10.08.2026,-17.181415,-56.657819
17.08.2026,-17.190817,-56.644434
24.08.2026,-17.192316,-56.637777
01.09.2026,-17.17956,-56.622968
08.09.2026,-17.176081,-56.626852
15.09.2026,-17.186054,-56.639476
22.09.2026,-17.201825,-56.649915
29.09.2026,-17.222463,-56.663752
06.10.2026,-17.23568,-56.639233
13.10.2026,-17.204144,-56.635592
20.10.2026,-17.210637,-56.672249
27.10.2026,-17.177009,-56.653071
04.11.2026,-17.184199,-56.657683
11.11.2026,-17.196723,-56.651857
18.11.2026,-17.188838,-56.626367
25.11.2026,-17.202057,-56.605246
02.12.2026,-17.192316,-56.636563
09.12.2026,-17.211565,-56.641175
16.12.2026,-17.230811,-56.667879
23.12.2026,-17.18675,-56.627338
30.12.2026,-17.213884,-56.621511
06.01.2027,-17.215971,-56.650643
13.01.2027,-17.230347,-56.636805
20.01.2027,-17.194867,-56.646759
27.01.2027,-17.203216,-56.636563
03.02.2027,-17.187678,-56.632193
10.02.2027,-17.170747,-56.647487
17.02.2027,-17.208318,-56.630008
24.02.2027,-17.196027,-56.63365
