date,latitude,longitude
15.12.2025,9.385382,-84.143258
25.02.2026,9.385274,-84.142993
06.03.2026,9.384965,-84.142879
13.03.2026,9.385021,-84.143093
20.03.2026,9.384936,-84.143749
27.03.2026,9.385476,-84.143395
03.04.2026,9.384958,-84.143106
10.04.2026,9.384492,-84.143277
17.04.2026,9.384106,-84.142864
24.04.2026,9.386007,-84.143435
01.05.2026,9.385725,-84.143264
08.05.2026,9.385584,-84.143021
15.05.2026,9.385317,-84.143093
22.05.2026,9.385134,-84.143549
29.05.2026,9.384993,-84.143064
06.06.2026,9.384824,-84.14335
13.06.2026,9.384866,-84.141694
20.06.2026,9.384458,-84.141922
27.06.2026,9.384315,-84.144211
04.07.2026,9.384813,-84.143556
11.07.2026,9.384063,-84.142493
18.07.2026,9.384514,-84.14315
25.07.2026,9.383542,-84.143093
02.08.2026,9.38557,-84.143135
09.08.2026,9.386035,-84.143207
16.08.2026,9.385382,-84.143258
23.08.2026,9.385242,-84.143433
30.08.2026,9.384817,-84.142428
07.09.2026,9.383917,-84.142653
14.09.2026,9.384063,-84.142493
21.09.2026,9.384277,-84.143458
28.09.2026,9.385124,-84.143833
05.10.2026,9.3856,-84.143672
12.10.2026,9.385304,-84.143286
19.10.2026,9.386542,-84.141055
26.10.2026,9.386256,-84.142299
03.11.2026,9.384827,-84.143533
10.11.2026,9.385155,-84.142245
17.11.2026,9.384774,-84.141687
24.11.2026,9.384679,-84.141344
01.12.2026,9.384171,-84.141269
08.12.2026,9.383163,-84.143822
15.12.2026,9.382551,-84.143329
21.12.2026,9.38361,-84.143629
28.12.2026,9.384287,-84.143286
05.01.2027,9.384637,-84.143501
12.01.2027,9.384171,-84.1432
17.01.2027,9.383991,-84.14393
25.01.2027,9.383928,-84.142653
02.02.2027,9.383705,-84.142428
09.02.2027,9.385039,-84.143501
16.02.2027,9.384806,-84.143629
23.02.2027,9.384266,-84.143222
